Number,Disclosure(MadeByAnEmployeeOrContractorOfTheFBO) ,Issue,HasTheFSADecidedToTakeActionInThePeriod1/4/2017-31/3/2018?,WasTheActionDecidedUponTakenInThePeriod1/4/2017-31/3/2018?,WasTheDisclousureReferredToAnAlternativeBody?,WasTheIssueResolvedAfterFirstContactWithTheEmployer?,IfTheIssueWasResolvedAfterFirstContactWithTheEmployerHowWasTheIssueResolved?,DidTheDisclosureRequireFurtherInvestigation?,WhereTheDisclosureRequiredFurtherInvestigationGiveASummaryOfTheInvestigationsCarriedOutAndTheOutcomes.,DidTheDisclosureLeadToActionBeingTaken?,HasTheFSAMadeRecommendationsToTheEmployerOnHowTheyCouldRectifyProblemsFoundEitherInRelationToTheEmployersDisclosurePoliciesAndProceduresOrInRelationToTheIssuesWhichFormTheSubstanceOfTheDisclosure?,DidTheOrganisationInvestigatedHaveWhistleBlowingPoliciesInPlace?,WasThereEvidenceOfWrongdoing?,WhereThereWasEvidenceOfWrongDoingWasEnforcementActionTaken? ,IfEnforcementActionWasTakenEnterTheNumberOfActionsTaken,DetailsOfTheActionTaken,WhereEnforcementActionsWereTakenAsAResultOfDisclosuresWhatWereTheOutcomes?,GiveDetailsOfAnyImpactTheDisclosureHadOnThePrescribedPersonsAbilityToPerformItsFunctionsAndMeetItsObjectives.
34,Date misrepresentation ,criminal offence ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Yes,No,Not recorded,Yes,Not Recorded,Yes - number of times is unknown,Not Applicable,Unknown to the FSA,None
35,Quality misrepresentation,criminal offence ,Yes,No,Yes,Not recorded,Not applicable,Yes,Referred to Field Ops team for their action,Not recorded,No,Not recorded,Yes,Not Recorded,Not Applicable,Not Applicable,Unknown to the FSA,None
36,Date misrepresentation ,criminal offence ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Yes,No,Not recorded,Yes,Not Recorded,Not Applicable,Not Applicable,Unknown to the FSA,None 
37,Quality misrepresentation,criminal offence ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Unannounced visit conducted,Yes,No,Not recorded,Yes,Not Recorded,Not Applicable,Not Applicable,Unknown to the FSA,None 
38,Quality misrepresentation,health or safety ,Yes,Yes,No,Not recorded,Not applicable,No,Individual was referred to Local Authority as they have been liaising with them directly,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not recorded,None
39,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not recorded,None
40,Quality misrepresentation,health or safety ,No,No,No,Not recorded,Not applicable,Yes,No further action taken as there was so little information provided - further attempts were made to ask more questions to the individual but they did not respond,No ,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
41,Contamination,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not recorded,None
42,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Yes,Inspection of premises,Yes,Information sent to Local Authority for their action,Yes,No,Not recorded,No,Not Recorded,Not Applicable,,Not Applicable,None
43,Other,health or safety ,No ,No,No,Not recorded,Not applicable,Yes,No further action taken as there was so little information provided - further attempts were made to ask more questions to the individual but they did not respond,No ,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
44,Other,health or safety ,Yes,Yes,No,Not recorded,Not applicable,No,The individual was advised to contact the relevant Local Authority as the issue fell outside the remit of the FSA,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
45,Other,health or safety ,No ,No,No,Not recorded,Not applicable,Yes,No further action taken as there was so little information provided - further attempts were made to ask more questions to the individual but they did not respond,No ,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None 
46,Date misrepresentation ,health or safety ,Yes,Yes,No,Not recorded,Inspection of premises,No,Referred to Field Ops team for their action,Yes,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None 
47,Contamination,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Yes,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
48,Other,health or safety ,Yes,Yes,No,Not recorded,Inspection of premises,No,Referred to Field Ops team for their action,Not recorded,No,Not recorded,No,Not Recorded,Not Applicable,,Not Applicable,None
49,Quality misrepresentation,health or safety ,Yes,Yes,No,Not recorded,Not applicable,Yes,Clarification was sought on the information provided,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
50,Unlawful Processing,deliberate concealment,Yes,Yes,No,Not recorded,Not applicable,Yes,Referred to Field Ops team for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
51,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
52,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Yes,Inspection of premises,Yes,Information sent to Local Authority for their action,No ,No,Not recorded,No,Not Recorded,Not Applicable,,Not Applicable,None
53,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Yes,Inspection of premises,Yes,Information sent to Local Authority for their action,Yes,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not Applicable,None
54,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not applicable,None
55,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not applicable,None 
56,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Yes,Inspection of premises,Yes,Information sent to Local Authority for their action,Yes,No,Not recorded,No,Not Recorded,Not Applicable,,Not applicable,None 
57,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not applicable,None 
58,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Yes,Inspection of premises,Yes,Information sent to Local Authority for their action,No ,No,Not recorded,No,Not Recorded,Not Applicable,,Not applicable,None
59,Quality misrepresentation,health or safety ,Yes,Yes,Yes,Not recorded,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not applicable,None 
60,Quality misrepresentation,health or safety ,Yes,Yes,Yes,No,Not applicable,Yes,Information sent to Local Authority for their action,Not recorded,No,Not recorded,Not Known,Not Recorded,Not Applicable,,Not applicable,None 
